created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2019-10-09 07:00:00 UTC,3015,26.60000,17.40000,25.00000,38.70000,9.80000,11.40000,15.50000,400.03513
2019-10-09 07:01:00 UTC,3016,26.60000,17.40000,25.00000,38.80000,9.80000,11.40000,15.50000,400.03476
2019-10-09 07:02:00 UTC,3017,26.60000,17.40000,25.00000,38.90000,9.80000,11.50000,15.50000,400.03439
2019-10-09 07:03:00 UTC,3018,26.60000,17.40000,25.00000,38.90000,9.80000,11.50000,15.40000,400.03403
2019-10-09 07:04:00 UTC,3019,26.60000,17.40000,25.00000,38.80000,9.80000,11.40000,15.50000,400.03366
2019-10-09 07:05:01 UTC,3020,26.60000,17.40000,25.00000,38.80000,9.80000,11.40000,15.50000,400.03329
2019-10-09 07:06:00 UTC,3021,26.60000,17.40000,25.00000,38.80000,9.80000,11.40000,15.50000,400.03293
2019-10-09 07:07:00 UTC,3022,26.60000,17.40000,25.00000,38.90000,9.80000,11.50000,15.40000,400.03256
2019-10-09 07:08:03 UTC,3023,26.60000,17.40000,25.00000,38.70000,9.80000,11.40000,15.50000,400.03220
2019-10-09 07:09:02 UTC,3024,26.60000,17.40000,25.00000,38.60000,9.80000,11.40000,15.50000,400.03183
2019-10-09 07:10:02 UTC,3025,26.60000,17.40000,25.00000,38.80000,9.80000,11.40000,15.50000,400.03146
2019-10-09 07:11:02 UTC,3026,26.60000,17.40000,25.00000,38.70000,9.80000,11.40000,15.50000,400.03110
2019-10-09 07:12:02 UTC,3027,26.60000,17.40000,25.00000,38.60000,9.80000,11.40000,15.50000,400.03073
2019-10-09 07:13:02 UTC,3028,26.60000,17.40000,24.90000,38.50000,9.80000,11.40000,15.60000,400.03036
2019-10-09 07:14:02 UTC,3029,26.60000,17.40000,25.00000,38.70000,9.80000,11.40000,15.50000,400.03000
2019-10-09 07:15:02 UTC,3030,26.60000,17.40000,25.00000,38.70000,9.80000,11.40000,15.50000,400.02963
2019-10-09 07:16:05 UTC,3031,26.60000,17.40000,25.00000,38.80000,9.80000,11.40000,15.50000,400.02927
2019-10-09 07:17:04 UTC,3032,26.60000,17.40000,24.90000,38.80000,9.80000,11.40000,15.50000,400.02890
2019-10-09 07:18:04 UTC,3033,26.60000,17.40000,24.90000,39.00000,9.80000,11.50000,15.40000,400.02853
2019-10-09 07:19:04 UTC,3034,26.60000,17.40000,24.90000,39.00000,9.90000,11.50000,15.40000,400.02817
2019-10-09 07:20:04 UTC,3035,26.50000,17.40000,24.90000,39.10000,9.90000,11.50000,15.30000,400.02780
2019-10-09 07:21:05 UTC,3036,26.50000,17.40000,24.90000,39.20000,9.90000,11.60000,15.30000,400.02744
2019-10-09 07:22:04 UTC,3037,26.60000,17.40000,24.90000,39.20000,9.90000,11.60000,15.40000,400.02707
2019-10-09 07:23:04 UTC,3038,26.60000,17.40000,24.90000,39.10000,9.90000,11.50000,15.40000,400.02670
2019-10-09 07:24:04 UTC,3039,26.60000,17.40000,24.90000,39.00000,9.90000,11.50000,15.40000,400.02634
2019-10-09 07:25:04 UTC,3040,26.60000,17.40000,24.90000,39.00000,9.90000,11.50000,15.40000,400.02597
2019-10-09 07:26:04 UTC,3041,26.60000,17.40000,24.90000,39.00000,9.90000,11.50000,15.40000,400.02560
2019-10-09 07:27:04 UTC,3042,26.50000,17.40000,24.90000,39.10000,9.90000,11.50000,15.40000,400.02524
2019-10-09 07:28:04 UTC,3043,26.50000,17.40000,24.90000,39.10000,9.90000,11.50000,15.30000,400.02487
2019-10-09 07:29:04 UTC,3044,26.50000,17.40000,24.90000,39.10000,9.90000,11.50000,15.30000,400.02451
2019-10-09 07:30:06 UTC,3045,26.50000,17.40000,24.90000,39.00000,9.80000,11.50000,15.40000,400.02426
2019-10-09 07:31:05 UTC,3046,26.50000,17.40000,24.90000,39.30000,9.90000,11.60000,15.30000,400.02426
2019-10-09 07:32:05 UTC,3047,26.50000,17.40000,24.90000,39.30000,9.90000,11.60000,15.30000,400.02426
2019-10-09 07:33:05 UTC,3048,26.50000,17.50000,24.90000,39.40000,9.90000,11.60000,15.30000,400.02426
2019-10-09 07:34:05 UTC,3049,26.50000,17.50000,24.90000,39.40000,9.90000,11.60000,15.30000,400.02426
2019-10-09 07:35:06 UTC,3050,26.50000,17.40000,24.90000,39.40000,9.90000,11.60000,15.30000,400.02426
2019-10-09 07:36:05 UTC,3051,26.50000,17.40000,24.90000,39.30000,9.90000,11.60000,15.30000,400.02426
2019-10-09 07:37:05 UTC,3052,26.50000,17.40000,24.90000,39.40000,9.90000,11.50000,15.20000,400.02426
2019-10-09 07:38:05 UTC,3053,26.50000,17.40000,24.90000,39.30000,9.90000,11.50000,15.20000,400.02426
2019-10-09 07:39:05 UTC,3054,26.50000,17.40000,25.00000,39.40000,9.90000,11.60000,15.20000,400.02426
2019-10-09 07:40:05 UTC,3055,26.50000,17.40000,24.90000,39.50000,9.90000,11.60000,15.20000,400.02426
2019-10-09 07:41:05 UTC,3056,26.50000,17.40000,24.90000,39.50000,9.90000,11.60000,15.20000,400.02426
2019-10-09 07:42:05 UTC,3057,26.50000,17.50000,25.00000,39.70000,10.00000,11.70000,15.10000,400.02426
2019-10-09 07:43:05 UTC,3058,26.50000,17.50000,25.00000,39.90000,10.00000,11.70000,15.10000,400.02426
2019-10-09 07:44:05 UTC,3059,26.50000,17.50000,24.90000,39.90000,10.00000,11.80000,15.10000,400.02426
2019-10-09 07:45:05 UTC,3060,26.50000,17.50000,24.90000,39.90000,10.00000,11.80000,15.10000,400.03110
2019-10-09 07:46:05 UTC,3061,26.50000,17.50000,24.90000,39.90000,10.00000,11.80000,15.10000,400.09555
2019-10-09 07:47:05 UTC,3062,26.50000,17.60000,24.90000,40.00000,10.10000,11.80000,15.10000,400.32016
2019-10-09 07:48:05 UTC,3063,26.50000,17.50000,24.90000,40.00000,10.10000,11.80000,15.10000,401.03485
2019-10-09 07:49:05 UTC,3064,26.50000,17.50000,24.90000,39.80000,10.00000,11.80000,15.10000,403.18536
2019-10-09 07:50:05 UTC,3065,26.50000,17.50000,24.90000,39.90000,10.10000,11.80000,15.10000,408.77298
2019-10-09 07:51:05 UTC,3066,26.50000,17.50000,24.90000,39.70000,10.00000,11.70000,15.20000,417.21725
2019-10-09 07:52:05 UTC,3067,26.50000,17.50000,24.90000,39.80000,10.00000,11.80000,15.20000,423.74692
2019-10-09 07:53:05 UTC,3068,26.50000,17.60000,24.90000,40.10000,10.10000,11.90000,15.10000,427.36685
2019-10-09 07:54:05 UTC,3069,26.50000,17.60000,24.90000,40.00000,10.10000,11.80000,15.10000,429.82339
2019-10-09 07:55:06 UTC,3070,26.50000,17.50000,24.90000,39.80000,10.00000,11.80000,15.20000,431.19821
2019-10-09 07:56:05 UTC,3071,26.50000,17.50000,24.90000,40.00000,10.00000,11.80000,15.10000,431.96246
